candidate_id,candidate_index,source_seed,source_noise_sha256,hard_model_sha256,predicted_observation_sha256,condition_violations,model_chunk,prediction_chunk,chunk_offset,batch_seconds
candidate_000034,34,9311034,2935fe2b98a8e6a42f3769af4c7013d74cd620043de11b6eefcf3d8e11e4997e,d3fc6d15bb44ed9e2317f76e12c6b21a427e46a5fdb7a3513952c8755325eea9,0e131d7485d80b04fd0a9024f2cc83dd056c3f4392df6c282dc4d396ffd4e66e,0,cache/models_000032_000035.pt.gz,cache/predictions_000032_000035.pt.gz,2,11.777363643981516
candidate_000035,35,9311035,4271da4f1efbd29eea2bfb3f0833dd437e5825ba9f473ac260c46464ce9b8621,ab137c6ed34e1fed38fc223a5058709979d12746cdc31f93a6c2c382248313f5,a48f15cfe07cf37701587f5b7988b906cf4b9ed67e9e3c912d03c882451bf086,0,cache/models_000032_000035.pt.gz,cache/predictions_000032_000035.pt.gz,3,11.777363643981516
candidate_000036,36,9311036,54cdd0bfbd1439ee43bd59e1abc2e1448c7ec100fa2e2e271681ae4485e154a7,79a70a79b9d5bea7bd5272abd47d072cc569429a1eaeabccdce8da4c85bedd3d,30fbedf7e684860bd939023b75aa4822e4c2bf6c71d9f4e5da2973fb96a393ef,0,cache/models_000036_000039.pt.gz,cache/predictions_000036_000039.pt.gz,0,11.77789737493731
candidate_000037,37,9311037,fcdec70202ca9a872785146949315824173cba7797d3efad8e8ab1b12a8c1815,1cd8a9084b75b84e9117b837370be33eeeb3e1a459523f4d481d54d338b92855,a2a8a8e32cc0cd23a911627f3fb1eb0f4a9f318e77713a303dcc9df5486e6800,0,cache/models_000036_000039.pt.gz,cache/predictions_000036_000039.pt.gz,1,11.77789737493731
candidate_000038,38,9311038,0f7db5622d3472626e141c680ff5dad4f23c90efc53128575530270a95a08c82,9b6956602106723120c210ae3e049afd4a2b2c8f27815f7e0564f93715ae3d5f,e1f93d29e76600ea75b5aa23eb5c7f57719ece530b8b54a24bed22dd42059a59,0,cache/models_000036_000039.pt.gz,cache/predictions_000036_000039.pt.gz,2,11.77789737493731
candidate_000039,39,9311039,ede8670a1d81f0c8af2bcc156856bd5c86dbb38eaf910a80cc8f84538bbd3328,7b8d78d4d366f68803f8d0f3f277f8d24223a45f2f449368b74690fb001b46ec,2b5dcd55225f94b248d07ee0f892f4c3e9721da1fa6c76334ca10cd3eee23458,0,cache/models_000036_000039.pt.gz,cache/predictions_000036_000039.pt.gz,3,11.77789737493731
candidate_000040,40,9311040,a648cc9112484c9d7765b4f3a2e393a6171c585dcccc7a3d929e8d9762f913d7,cd69442ce38856cf7d3d30aca34ea24625fd21320ab59f903aa64b8f5d691d37,685314822cafd80040a3365d0c811f7404f934f701021726591be98f3dd3f0b2,0,cache/models_000040_000043.pt.gz,cache/predictions_000040_000043.pt.gz,0,11.79170837404672
candidate_000041,41,9311041,e9f3ee8f5ed92196868c19fe0714acb99bc31eb8a7418a3bf0706b3778c8acfb,fd92a3a422d97fc79e059188b2b8a0b8c988ade89715b2904bebb3d66813ec0f,fef91edb05db1c16421cb5648940468275d964bc62068fa235269ba974b7ceda,0,cache/models_000040_000043.pt.gz,cache/predictions_000040_000043.pt.gz,1,11.79170837404672
candidate_000042,42,9311042,1cdd4543e221b79f3d343b295c79539916c6c74f05cae4e237861f7c8e1dbe7a,c59db596ea628a23d059a2a1ef61ee0bfa7ae7b0cc0584c0ecd3f4f443fb3a9e,78126fbd463e2acd4ab718c5578445a8953500c32bcdfc5a74035975efcf32ad,0,cache/models_000040_000043.pt.gz,cache/predictions_000040_000043.pt.gz,2,11.79170837404672
candidate_000043,43,9311043,5e15329fc1479207d5cd7fe90e35f3a3185ada2c9ef2639bb56608b3b853ad12,a0749f46b637ca646f1ba62abb43855ef236a71c87effe6196f8d2e0f851ebcf,1d4ab6bd5b1cec0322c260ef0d4dfb10755beda03a65d3ee1fa3df411376640a,0,cache/models_000040_000043.pt.gz,cache/predictions_000040_000043.pt.gz,3,11.79170837404672
candidate_000044,44,9311044,9a47d6e66f43963194d5104143779325c01c94e16efa4a6f6e030aa87c2e7978,58e6cce3343632c50e26921e28bde9db6957030d3987156694cc1d171e76cdee,ba5be1cb9af0c6f9767189b2590f4a15be789dfb43028af72ffa47e960709a6f,0,cache/models_000044_000047.pt.gz,cache/predictions_000044_000047.pt.gz,0,11.791196092963219
candidate_000045,45,9311045,877b59b3e10bd151b804ad9d33b16acda2686311f7abe7bc94a793cb174b1a44,c2903b33aeba009df01ce0ff4f89850f81085d42eb966ff1baa54f848d5622a5,7e19b00ecfdf1f138ee79a389045b17f31875b553610fb688dee758b51ea1ccb,0,cache/models_000044_000047.pt.gz,cache/predictions_000044_000047.pt.gz,1,11.791196092963219
candidate_000046,46,9311046,4fe2cb2e78685ccb266b313530e89d440595f594ae3f971b686028c2bfa8c008,f03c4c7bff3244f167c3fbe9c53c4891924a136776d85df077af038f1131645c,c015b9603feda9cfb8f7b429a2c3a0fe3f8f1b09a19c39f0543728480e2a9f0a,0,cache/models_000044_000047.pt.gz,cache/predictions_000044_000047.pt.gz,2,11.791196092963219
candidate_000047,47,9311047,e6fbe0cfe9031fac073e94fc4bc13ae807afa19619f954ad18d982d96c229495,a79c2644ee2ee3e9d3e457fd8776730b939b0aa1cad7ca317c17bbf84a1651ec,3dea98bd0cb3fb523f04c6553897c382935b74c3044db8367446ffd0378da8e9,0,cache/models_000044_000047.pt.gz,cache/predictions_000044_000047.pt.gz,3,11.791196092963219
candidate_000048,48,9311048,5bbc0be3e441f175ddc0b15991fb4358d6f1709c5958b009ca6b5f8159bbd858,62a88f7d9e789ba559cd7559ff50aa137252adf923ddabb20ef6be7b3f048d5b,d5deef3251a621df87601a88f5081e457eaf59152f8d83d73cd9e76254511dc0,0,cache/models_000048_000051.pt.gz,cache/predictions_000048_000051.pt.gz,0,11.790567959076725
candidate_000049,49,9311049,f47dc1a0c7d70b8650cbef2f49e915d771fbb3403a7b1ae0bb54f4a4ee0041b7,bfff833b4a19fad410ba8aa3e80b6bbc5fb67ff65008444e8439caee70215702,81e695b8ccf3d095635e9babb561008db0ecf8a2432599d5993a39f4c08f616e,0,cache/models_000048_000051.pt.gz,cache/predictions_000048_000051.pt.gz,1,11.790567959076725
candidate_000050,50,9311050,b45aa9f118e672e5f1f15708f409db062750c9ef13f42433626c82f7c6504da2,ae61c834b9af955254840f86b4a25cd6e441060de31c15e98d0d5b10254be13a,c5b48edc071c903ec600f37efd33c7edf1479c769577e598454e38c4da2005e7,0,cache/models_000048_000051.pt.gz,cache/predictions_000048_000051.pt.gz,2,11.790567959076725
candidate_000051,51,9311051,738811009dbff8f5062160a3cbafdb7abf92154dd2d37b23985bc3f0370d49bb,09782cb78a63fd0c8e624a6d22a64ae383505b9f19068634df801c65e551261c,c8e8653a0e68e6099194a274d7def558c16c67da3d9d0475a5584919c0f0661f,0,cache/models_000048_000051.pt.gz,cache/predictions_000048_000051.pt.gz,3,11.790567959076725
candidate_000052,52,9311052,908ebb53ad6971b1d094cf4cd37e1a4843231f295b006f895cea7ea9d618a40f,ce36679f1a440e6646299cac2b6cff60edb4642350c89f391adbb006981d4b48,62464940cd2c1ebcad3b2ef729fa8d71ecfe987ed5b1e5bf1f68359f290ef215,0,cache/models_000052_000055.pt.gz,cache/predictions_000052_000055.pt.gz,0,11.791424505994655
candidate_000053,53,9311053,95a764d06cc70a8f0664aec561b28cad632312de1b109b604fecf00f6cd9464b,25a722e4a10f3fc5bcf3f4fa7d2daa140d6fd662a4fb6a2c6430a54e0e973a1b,bb76055367f9526fff4f64e6e83d4916fa6f579cb3df93dff6364b910d679a1d,0,cache/models_000052_000055.pt.gz,cache/predictions_000052_000055.pt.gz,1,11.791424505994655
candidate_000054,54,9311054,b534365f87718e36c7b7df23415aee343cef115b82d1802bfdaf9a9b0564cf9d,85849ba75a9a00cad3aac94f136914331bdfd695101b757650ce80232e429967,881440217dc1aa7e539c237bfc015d79aff399c3a8f17d9d57771ebf090956df,0,cache/models_000052_000055.pt.gz,cache/predictions_000052_000055.pt.gz,2,11.791424505994655
candidate_000055,55,9311055,4086913587879357dbd9fb889b894a2f5427fa087f951d716b04572b7fdcdad7,cba6dd56a9cf7707169baf4bfd37776b60c837b12fdd2cfbc41f19dfee6d76da,e392f1cf722b712b4fcd31e18aefb47ad6a2ce9fb9469589badb90bb657fb8ae,0,cache/models_000052_000055.pt.gz,cache/predictions_000052_000055.pt.gz,3,11.791424505994655
candidate_000056,56,9311056,9e53ad997177140a0d1f5236c75a8484e3646b45ab6225755df0f3e8845d6968,d3c719bc161f8945f9e562f08443748be3bfa3720f93162b91e9cb0dbdcb23ed,562a3323dc1f03670c502b3a1f1a9e5875b47f89ec390ad3ae67cc4defc20bdc,0,cache/models_000056_000059.pt.gz,cache/predictions_000056_000059.pt.gz,0,11.791599355987273
candidate_000057,57,9311057,6fb9da0e4746e76eb9ad377642b081175a44ea66b00bae8ebb28f45a4ab26aad,6c3774a1ea3d23f9f81d12495ba3e9c14df2e0d29459f7fc062f5a37c8a5a12e,d7433b58686a2cc3de3d11c880b980e0e4a5d714a5ba67b4f4261f4a5c3e3de8,0,cache/models_000056_000059.pt.gz,cache/predictions_000056_000059.pt.gz,1,11.791599355987273
candidate_000058,58,9311058,652074980a8631b5cb80665e717a60b17396f053507e5cc1e7ef44934eb2296e,358c55c7eca68b74388bf90e6299ecd8ceb50eec25e3b3e8653d31997ad0fa55,453244692bb52bfccd65ab3fbebf0a7cb5d50f6dec415889a1eec5ee83abab75,0,cache/models_000056_000059.pt.gz,cache/predictions_000056_000059.pt.gz,2,11.791599355987273
candidate_000059,59,9311059,5166a53d9db68142214e820ecffa563b5607b46c14b38ef22f4cce4276817430,2b079a0e90b5e519ed9089874eca8231e72fbed91ac0298ad64f1cb1e618b7cf,82c1e271c63b4e28ed9d2490c8d5a9abb29ca8ce367642788a6c66ff27cd0be1,0,cache/models_000056_000059.pt.gz,cache/predictions_000056_000059.pt.gz,3,11.791599355987273
candidate_000060,60,9311060,c6b8599ee6dd4498de7e179bdfdb3867973efb8d101ba67be4a3165fd3a8417d,74a36f3707954fbb05251a4f39795d371e7575d17c19d12d3176750fd36c68a6,ec9e72d6733ba2168afa85969ddca89a6e47bd6d33c193d73c8714922234709d,0,cache/models_000060_000063.pt.gz,cache/predictions_000060_000063.pt.gz,0,11.792580118053593
candidate_000061,61,9311061,a0e5999f2ee54bd1d3ff1101803551e903b9946dc65a5af76135ccb2aec2499f,b1e81687e3e8584e5955c45644c4028fd8f9fffef912bd6a428b01736d35c75f,39635ca566a1b27a61975dfedb919a300ac6f0e0f0e4ea86d85ed013a07e69c8,0,cache/models_000060_000063.pt.gz,cache/predictions_000060_000063.pt.gz,1,11.792580118053593
candidate_000062,62,9311062,2c4b2619a6c1c19710a4981e1bcaff7d8ae5d8a1ee985f4e8bba0f76726e1244,8e8f82debec77acca03b2ba85bb1d75cb2366031f0950fe24e0db148e0c729cb,91ce2b4ef938a985b81a62f304d4ad882cec2f471750f4f0d579a0acb7685a54,0,cache/models_000060_000063.pt.gz,cache/predictions_000060_000063.pt.gz,2,11.792580118053593
candidate_000063,63,9311063,b71457dedec4972ff2dde26f8c6d05e3fec098ae3ce891f0fa9861819174642c,afa141de4f5ea5fa20fa9efb6ba79b00268877dcb193d0299bf2be6464cb480a,20479f9964ba6166e8d2def8b12bb83334370ed9aab6ee38445f425a4c3ffafa,0,cache/models_000060_000063.pt.gz,cache/predictions_000060_000063.pt.gz,3,11.792580118053593
candidate_000064,64,9311064,b3da94da216808b8d9a0810bab68b7832f1ee71eb0dcb8fe6c43f1fda7c5b11f,1dbaf5cd88dc1cf3d66ecebd47abd440adce0fa438a8f38a7950f96a2d62ec6e,5578b097d342ea5ae572f3b8496ed6a43dde7240996f1cfa5895a9385a1286b3,0,cache/models_000064_000067.pt.gz,cache/predictions_000064_000067.pt.gz,0,11.79129100102
candidate_000065,65,9311065,f994f429de124efa9ebcf214710f87c8acefb89cbc42b231b4cc49efec289997,e4555d8805e40fd42b488c523a84bf3115e284051fa47089c2924f31fdb5351b,203675a8b5575f85b1438d0e7e1f623cda0a72f72fa41019fc15410bf33e8173,0,cache/models_000064_000067.pt.gz,cache/predictions_000064_000067.pt.gz,1,11.79129100102
candidate_000066,66,9311066,c746bb9ee92e923458b5fcb39f72f577d5599642bf39bba06da997daa00c55ec,e54b8d640fe4a799dcc5ec7c0b5e54971c513a72c2562ea3ded41a3bc748ffbb,d1d08269d533d0f7d0ad2221bcaefb08c28c56d14a6c6014c58352df19f3da49,0,cache/models_000064_000067.pt.gz,cache/predictions_000064_000067.pt.gz,2,11.79129100102
candidate_000067,67,9311067,fffa02b2cfadb6e52cfd0c094c104b29690cae96cc5f2927ad930599f1669363,1280bbaf5fd55a7a00b065f33c4e04bfbaf919014a582b46c33daeafd70494e9,14b1a40d3c6a6a5ab4204eb58cc0d3648f23bbec1b02c25aa0135d32636c9abc,0,cache/models_000064_000067.pt.gz,cache/predictions_000064_000067.pt.gz,3,11.79129100102
candidate_000068,68,9311068,b7fb3873287883fe118a371ab150087cdb115d7fde41fb88faa362cd789ee9d7,e9ebdcd35aab4798d3b3f077668db06d0bf0cb674aa031709f40d275ee73f4a1,b340087f4e158f32eb7ff95595d6b2f5d5f4296067e42b8af85ef685ea124668,0,cache/models_000068_000071.pt.gz,cache/predictions_000068_000071.pt.gz,0,11.791598540963605
