sample_id,class_id,truth_present,truth_volume,predicted_volume,volume_error,absolute_volume_error_fraction,iou,precision,recall,candidate_id,retrospective_only,used_for_ranking
82,9,True,1827,29253,27426,15.011494252873563,0.03714085494043448,0.03804737975592247,0.6091954022988506,candidate_000082,True,False
83,0,True,227549,201274,-26275,0.11546963511155839,0.8785039359730855,0.9963731033317765,0.8813222646550852,candidate_000083,True,False
83,9,True,1827,24272,22445,12.285166940339353,0.04308380959993605,0.04441331575477917,0.5900383141762452,candidate_000083,True,False
84,0,True,227549,214449,-13100,0.057570017886257464,0.9373471373594102,0.9972161213155576,0.9398063713749566,candidate_000084,True,False
84,9,True,1827,13551,11724,6.417077175697865,0.08670765316938732,0.09054682311268542,0.6715927750410509,candidate_000084,True,False
85,0,True,227549,206252,-21297,0.09359302831478056,0.9013183846281962,0.9970473013595019,0.9037306250521866,candidate_000085,True,False
85,9,True,1827,19388,17561,9.611932129173509,0.05852709310448059,0.06050134103569218,0.6420361247947455,candidate_000085,True,False
86,0,True,227549,209327,-18222,0.08007945541399875,0.916215255999193,0.997898025577207,0.9179868951302796,candidate_000086,True,False
86,9,True,1827,14277,12450,6.814449917898194,0.07711858738545917,0.08075926315052182,0.6310892172961139,candidate_000086,True,False
87,0,True,227549,215090,-12459,0.054753042201899374,0.9368797367545901,0.9954298200753173,0.9409270091277043,candidate_000087,True,False
87,9,True,1827,11943,10116,5.536945812807882,0.06529475475785239,0.07066901113623043,0.46195949644225504,candidate_000087,True,False
88,0,True,227549,209659,-17890,0.0786204290064997,0.9143296247159427,0.9960030334972503,0.9176968477119214,candidate_000088,True,False
88,9,True,1827,17066,15239,8.340996168582375,0.0550622661529011,0.057775694363061056,0.5396825396825397,candidate_000088,True,False
89,0,True,227549,206876,-20673,0.09085076181393897,0.9024357132847534,0.9961184477658114,0.9056203279293691,candidate_000089,True,False
89,9,True,1827,20315,18488,10.119321291735085,0.048489440287906055,0.050406103864139795,0.5604816639299398,candidate_000089,True,False
90,0,True,227549,210529,-17020,0.07479707667359557,0.9178534372934187,0.9958580528098266,0.9213707816777925,candidate_000090,True,False
90,9,True,1827,16439,14612,7.9978106185002735,0.0541320406278855,0.05705943183891964,0.5134099616858238,candidate_000090,True,False
91,0,True,227549,201261,-26288,0.11552676566365926,0.8793196390458118,0.9968995483476679,0.8817309678354992,candidate_000091,True,False
91,9,True,1827,25475,23648,12.943623426382047,0.044452945677123185,0.04561334641805692,0.6360153256704981,candidate_000091,True,False
92,0,True,227549,216720,-10829,0.04758974990002154,0.9418369844572267,0.994282945736434,0.9469652690189805,candidate_000092,True,False
92,9,True,1827,8886,7059,3.863711001642036,0.05796958325103693,0.06605896916497862,0.32129173508483855,candidate_000092,True,False
93,0,True,227549,206787,-20762,0.09124188636293722,0.9010386347620944,0.9955316340002031,0.9046974497800474,candidate_000093,True,False
93,9,True,1827,17809,15982,8.747673782156541,0.04658351988060974,0.04907630973103487,0.4783798576902025,candidate_000093,True,False
94,0,True,227549,209931,-17618,0.07742508207023542,0.9151348535456786,0.9957890926066184,0.9186900403869057,candidate_000094,True,False
94,9,True,1827,17055,15228,8.334975369458128,0.05256703272200234,0.05529170331281149,0.5161466885604816,candidate_000094,True,False
95,0,True,227549,216309,-11240,0.04939595427797969,0.9428683985905321,0.995811547369735,0.9466224857063753,candidate_000095,True,False
95,9,True,1827,11979,10152,5.556650246305419,0.07023255813953488,0.07563235662409216,0.49589490968801314,candidate_000095,True,False
96,0,True,227549,213312,-14237,0.0625667438661563,0.9294457987404318,0.9955839333933393,0.9332934884354579,candidate_000096,True,False
96,9,True,1827,13505,11678,6.391899288451013,0.060597675705589375,0.06486486486486487,0.4794745484400657,candidate_000096,True,False
97,0,True,227549,209191,-18358,0.08067712888213088,0.9110002625360987,0.995262702506322,0.9149677651846415,candidate_000097,True,False
97,9,True,1827,15625,13798,7.552271483305966,0.05024974423782873,0.05344,0.4570333880678708,candidate_000097,True,False
98,0,True,227549,206471,-21078,0.09263059824477365,0.9004956824829664,0.9960139680633115,0.9037525983414562,candidate_000098,True,False
98,9,True,1827,20119,18292,10.012041598248494,0.04789189705390823,0.04985337243401759,0.5489874110563766,candidate_000098,True,False
99,0,True,227549,214924,-12625,0.05548255540564889,0.9359839336343589,0.9953332340734399,0.9401096027668766,candidate_000099,True,False
99,9,True,1827,12347,10520,5.758073344280241,0.06172284644194757,0.0667368591560703,0.45101258894362345,candidate_000099,True,False
100,0,True,227549,212126,-15423,0.06777880808089687,0.923926836739159,0.9953753900983378,0.9279100325644147,candidate_000100,True,False
100,9,True,1827,15509,13682,7.488779419813903,0.05130382049727107,0.054548971564897804,0.4630541871921182,candidate_000100,True,False
101,0,True,227549,204799,-22750,0.09997846617651583,0.8935225331756668,0.9961865048169181,0.8965893060395783,candidate_000101,True,False
101,9,True,1827,22327,20500,11.220580186097427,0.0452657088454215,0.04684910646302683,0.5725232621784346,candidate_000101,True,False
102,0,True,227549,205464,-22085,0.09705601870366383,0.8998547729675893,0.9981991979130164,0.9013179578903885,candidate_000102,True,False
102,9,True,1827,21182,19355,10.593869731800766,0.062231660588153825,0.06363893872155604,0.7378215654077723,candidate_000102,True,False
103,0,True,227549,212021,-15528,0.06824024715555771,0.9241662179849155,0.9957645704906589,0.9278133500916286,candidate_000103,True,False
103,9,True,1827,15267,13440,7.35632183908046,0.05740442904862056,0.060784699024038776,0.5079365079365079,candidate_000103,True,False
104,0,True,227549,210583,-16966,0.07455976514948429,0.9177456207159177,0.995664417355627,0.9214279122298933,candidate_000104,True,False
104,9,True,1827,16493,14666,8.027367268746579,0.05251062851890153,0.05541744982719942,0.5002736726874658,candidate_000104,True,False
105,0,True,227549,206265,-21284,0.09353589776267969,0.8997766586380557,0.9961166460621046,0.9029439812963361,candidate_000105,True,False
105,9,True,1827,20018,18191,9.956759715380405,0.04923150816522574,0.05120391647517235,0.5610290093048714,candidate_000105,True,False
106,0,True,227549,207051,-20498,0.09008169668950423,0.9040358901564937,0.9966047012571781,0.9068288588391951,candidate_000106,True,False
106,9,True,1827,19158,17331,9.486042692939245,0.05611474584801208,0.05820022966906775,0.6102900930487137,candidate_000106,True,False
107,0,True,227549,200397,-27152,0.1193237500494399,0.8745225496723552,0.9962723992874145,0.8773934405336873,candidate_000107,True,False
107,9,True,1827,24890,23063,12.623426382047072,0.041801520764281536,0.043069505825632785,0.5867542419266557,candidate_000107,True,False
108,0,True,227549,210176,-17373,0.0763483908960268,0.9181134588924043,0.9968740484165651,0.9207643188939525,candidate_000108,True,False
108,9,True,1827,17257,15430,8.445539135194307,0.065133671931685,0.0676247319928145,0.638752052545156,candidate_000108,True,False
109,0,True,227549,210513,-17036,0.07486739119925818,0.9184300879374978,0.9962235111370794,0.9216388558068812,candidate_000109,True,False
109,9,True,1827,16508,14681,8.035577449370553,0.05964283650234063,0.06251514417252241,0.5648604269293924,candidate_000109,True,False
110,0,True,227549,213904,-13645,0.059965106416639935,0.9328318673187476,0.9960356047572743,0.9363082237232421,candidate_000110,True,False
110,9,True,1827,14048,12221,6.689107827038861,0.06550775219813411,0.06947608200455581,0.5342090859332239,candidate_000110,True,False
111,0,True,227549,208657,-18892,0.08302387617612031,0.9104023965103446,0.9962474299927633,0.913535106724266,candidate_000111,True,False
111,9,True,1827,17957,16130,8.828680897646414,0.05559705474335717,0.05802751016316757,0.5703338806787083,candidate_000111,True,False
