branch_id,generation,evaluation_slot,probe_kind,transition,from_scale,scale,ranking_id,rank_index,canonical_center_score,lineage_parent_state_id,child_state_id,center_x,center_y,center_z,shape,material_label,orientation_deg,full_size_x,full_size_y,full_size_z,probe_size_x,probe_size_y,probe_size_z,hard_rmse,delta_rmse_vs_lineage_parent,delta_rmse_vs_empty,strictly_improves_lineage_parent,reallocated_existing_slot,displaced_scheduled_move,displaced_scheduled_parent_state_id,condition_violations,truth_used
v4_branch_6c160016fe68cf979b17,2,72,new_center,parent_to_0.25,0.0,0.25,g002_dff5d949e25fbcab_0001,12,4.919147613691166e-05,g001_p000039_empty,g002_p000072_g001_p000039_empty,25.0,9.0,31.0,dike_hemisphere,9,105.91701959662572,9.108244346444994,8.010848862809722,11.845258640698964,2.2770610866112486,2.0027122157024304,2.961314660174741,0.017678437754511833,4.616566002368927e-05,4.616566002368927e-05,False,False,,,0,False
v4_branch_50f2e36490ba24148c92,2,78,new_center,parent_to_0.25,0.0,0.25,g002_dff5d949e25fbcab_0001,13,4.919147613691166e-05,g001_p000039_empty,g002_p000078_g001_p000039_empty,25.0,10.0,30.0,dike_hemisphere,9,44.822463928055704,13.356589771300172,9.29562523869045,10.441591092427174,3.339147442825043,2.3239063096726125,2.6103977731067936,0.017709530889987946,7.725879549980164e-05,7.725879549980164e-05,False,False,,,0,False
v4_branch_e4070687d72a34967633,2,84,new_center,parent_to_0.25,0.0,0.25,g002_dff5d949e25fbcab_0001,14,4.919147613691166e-05,g001_p000040_empty,g002_p000084_g001_p000040_empty,25.0,10.0,31.0,ellipsoid,9,103.47496166380361,7.721182675876758,15.377144254982783,13.044669663478286,1.9302956689691895,3.8442860637456957,3.2611674158695716,0.017637189477682114,4.9173831939697266e-06,4.9173831939697266e-06,False,False,,,0,False
v4_branch_1811a0ed5611f9599fa4,2,90,new_center,parent_to_0.25,0.0,0.25,g002_dff5d949e25fbcab_0001,15,4.919147613691166e-05,g001_p000040_empty,g002_p000090_g001_p000040_empty,26.0,9.0,30.0,ellipsoid,9,35.8144834001507,9.466751447329244,9.174650088579087,13.172271744911134,2.366687861832311,2.2936625221447717,3.2930679362277835,0.017701759934425354,6.948783993721008e-05,6.948783993721008e-05,False,False,,,0,False
v4_branch_4c84673a22ef5e103d5c,3,0,new_center,parent_to_0.25,0.0,0.25,g003_30c3045caddb3a4f_0002,0,5.014018097426742e-05,g002_p000000_g001_p000018_empty,g003_p000000_g002_p000000_g001_p000018_empty,41.0,9.0,20.0,ellipsoid,9,78.7585894117334,11.671831616561072,7.481856834036424,6.8107846559649134,2.917957904140268,1.870464208509106,1.7026961639912284,0.017632272094488144,0.0,0.0,False,False,,,0,False
v4_branch_48964b8309423578bd64,3,6,new_center,parent_to_0.25,0.0,0.25,g003_30c3045caddb3a4f_0002,1,4.919147613691166e-05,g002_p000000_g001_p000018_empty,g003_p000006_g002_p000000_g001_p000018_empty,9.0,9.0,9.0,dike_hemisphere,9,113.24526925458883,7.799633002208298,6.429516297137761,9.26914429912523,1.9499082505520744,1.6073790742844403,2.3172860747813075,0.017647119238972664,1.4847144484519958e-05,1.4847144484519958e-05,False,False,,,0,False
v4_branch_43ebff9e88c286728aa8,3,12,new_center,parent_to_0.25,0.0,0.25,g003_30c3045caddb3a4f_0002,2,4.919147613691166e-05,g002_p000001_g001_p000018_empty,g003_p000012_g002_p000001_g001_p000018_empty,9.0,9.0,10.0,ellipsoid,9,146.640431973814,7.1761975256478285,13.934606513282285,9.457809913352774,1.7940493814119571,3.483651628320571,2.3644524783381935,0.017747502774000168,0.00011523067951202393,0.00011523067951202393,False,False,,,0,False
v4_branch_698cfc0ff0a239d94b62,3,13,new_center,parent_to_0.25,0.0,0.25,g003_30c3045caddb3a4f_0002,3,4.919147613691166e-05,g002_p000001_g001_p000018_empty,g003_p000013_g002_p000001_g001_p000018_empty,9.0,9.0,11.0,dike_hemisphere,9,143.70794063246348,15.105715972248284,8.172013902200609,12.066642332128279,3.776428993062071,2.0430034755501523,3.0166605830320696,0.01765904575586319,2.6773661375045776e-05,2.6773661375045776e-05,False,False,,,0,False
v4_branch_756ad7e3882eef2c5687,3,14,new_center,parent_to_0.25,0.0,0.25,g003_30c3045caddb3a4f_0002,4,4.919147613691166e-05,g002_p000001_g001_p000018_empty,g003_p000014_g002_p000001_g001_p000018_empty,9.0,10.0,9.0,ellipsoid,9,89.97605214959255,6.3314295629120405,13.749154763878119,6.3659889064135475,1.5828573907280101,3.4372886909695297,1.5914972266033869,0.017679652199149132,4.7380104660987854e-05,4.7380104660987854e-05,False,False,,,0,False
v4_branch_6a783c370a361c20ed2e,3,15,new_center,parent_to_0.25,0.0,0.25,g003_30c3045caddb3a4f_0002,5,4.919147613691166e-05,g002_p000001_g001_p000018_empty,g003_p000015_g002_p000001_g001_p000018_empty,9.0,10.0,10.0,ellipsoid,9,147.00298802593673,11.067937635122036,9.26393513563815,7.5268940798938395,2.766984408780509,2.3159837839095374,1.8817235199734599,0.01772254891693592,9.02768224477768e-05,9.02768224477768e-05,False,False,,,0,False
