sample_group,sample_index,binary_sha256,target_voxel_count,predicted_voxels,true_positive_voxels,false_positive_voxels,false_negative_voxels,precision,recall,iou,centroid_distance
retained,60,e42ffd116d16f0d1897727fe406928af0682b40efd1543d756f9afcf8185faa6,2889,2889,310,2579,8658,0.10730356524749048,0.03456735057983943,0.026846800034641034,10.49676513671875
retained,61,64f08a8e584d1d89a3078f792df573a9cfe44c1002d568e8759cebe69f2ced1d,2873,2873,319,2554,8649,0.11103376261747303,0.03557091882247993,0.02768616559625065,12.291535377502441
retained,62,89d7071c2a5fb7193e12327cb75ca92c38f80eb5a293e061731c6a5101481bcd,3109,3109,326,2783,8642,0.10485686715985848,0.03635147190008921,0.027742319802569994,12.190515518188477
retained,63,2ec9073a1e91809faf9db64b86460c11ed017877a2c7a7c8c5d813e88b46c98e,3029,3029,269,2760,8699,0.08880818752063387,0.029995539696699377,0.02293656207366985,12.481341361999512
retained,64,a5bb33e027fcc02b57df59902600bf7a433b7ecd876515b7bbfd8ab28dd2480c,3095,3095,293,2802,8675,0.09466882067851373,0.03267172167707404,0.024893797790994054,10.717925071716309
retained,65,1e10a54dd948ebe2abedcd2fbce404700c5e8ab2b81c3c714172132164595e2c,3301,3301,293,3008,8675,0.08876098152075129,0.03267172167707404,0.02446559786239145,13.124319076538086
retained,66,111e6ac77c176e8c74b92e2bbdcdd3847c5e4b04cb0e20277f117589694a51a1,3602,3602,341,3261,8627,0.09466962798445308,0.03802408563782337,0.02788453675688936,12.923093795776367
retained,67,f6c1caae6c93eee08612d279e38dbb54326da1543a11b80fad3a17a612266e0d,3475,3475,336,3139,8632,0.09669064748201439,0.03746654772524532,0.027752539852977615,11.876428604125977
retained,68,8a8abed270c46380799862db9266bd4f47d29f8d5e79d45dd195f3271f00dafd,3561,3561,348,3213,8620,0.09772535804549284,0.038804638715432646,0.028569082998111815,12.563562393188477
retained,69,837f6d875364740b43094fece765a860a75f1336fcb48ed0b24835f959bf4f14,3622,3622,328,3294,8640,0.09055770292655992,0.036574487065120426,0.02674930680150057,13.349863052368164
retained,70,a1e3b26c3aee977b5a7f4ad4f950fba236acac68c15b5caf4d4a926152b74e2e,3359,3359,324,3035,8644,0.09645727895206907,0.03612845673505798,0.02699325168707823,14.84190845489502
retained,71,a1e3b26c3aee977b5a7f4ad4f950fba236acac68c15b5caf4d4a926152b74e2e,3359,3359,324,3035,8644,0.09645727895206907,0.03612845673505798,0.02699325168707823,14.84190845489502
retained,72,a084df8ef7e3b61811b87624be75532c008f221994da8d1270346b6a63a1a5c1,5384,5384,388,4996,8580,0.07206537890044576,0.043264942016057094,0.027785734746490976,8.9750337600708
retained,73,a084df8ef7e3b61811b87624be75532c008f221994da8d1270346b6a63a1a5c1,5384,5384,388,4996,8580,0.07206537890044576,0.043264942016057094,0.027785734746490976,8.9750337600708
retained,74,a084df8ef7e3b61811b87624be75532c008f221994da8d1270346b6a63a1a5c1,5384,5384,388,4996,8580,0.07206537890044576,0.043264942016057094,0.027785734746490976,8.9750337600708
retained,75,902e24d5ea9b1f46cf638a6ed7bd144e598fc8318e856482bcb08840dee7502b,5315,5315,384,4931,8584,0.0722483537158984,0.042818911685994644,0.02762788689833801,8.514142990112305
retained,76,6cca0d28b9ef00c65e7e760198155ecd4d20dda90e9a672e01d19332027ad197,5458,5458,372,5086,8596,0.06815683400513009,0.041480820695807316,0.026469332574356054,9.187626838684082
retained,77,9d80d34eaae1edc2be2195b835c2fbfb9c89f09d6e34517110f5320b71ed82a0,4972,4972,323,4649,8645,0.06496379726468222,0.036016949152542374,0.02372034956304619,8.610967636108398
retained,78,a51b3d71bceae858be93489f0d3b063ebe0de5531d33678904f4de5ad70eb9fe,5081,5081,393,4688,8575,0.07734697894115332,0.043822479928635145,0.028778558875219684,8.22301197052002
retained,79,f790e569a20a3cc3b65cc044cc1e6d4934b0c58314ed2135d5c809b732204227,4855,4855,372,4483,8596,0.07662203913491246,0.041480820695807316,0.0276559363616088,9.00008773803711
retained,80,1f18e64cbe15e358ec1a69e3db2174718d76f7f5daff308a729d299342551421,5032,5032,424,4608,8544,0.08426073131955485,0.04727921498661909,0.031231585150265175,8.537809371948242
retained,81,81244b3bb7aa886d79399fef794d5042e2acf2a06f326b63f4bb6ef9a87db38e,5283,5283,451,4832,8517,0.08536816202915011,0.05028991971454059,0.03268115942028985,9.55184268951416
