control,mode,step,temperature,soft_loss,gradient_norm_before_clip,hard_checked,hard_improved,selected_best_step,hard_loss
zero,ENDPOINT_REFERENCE,143,0.1,0.00022986326075624675,9.594694347470067e-06,False,False,140,
zero,ENDPOINT_REFERENCE,144,0.1,0.00022851261019241065,8.951970812631771e-06,False,False,140,
zero,ENDPOINT_REFERENCE,145,0.1,0.00022720951528754085,8.604118193034083e-06,True,True,145,0.0009274738258682191
zero,ENDPOINT_REFERENCE,146,0.1,0.00022610028099734336,8.365146641153842e-06,False,False,145,
zero,ENDPOINT_REFERENCE,147,0.1,0.00022507377434521914,7.799329978297465e-06,False,False,145,
zero,ENDPOINT_REFERENCE,148,0.1,0.0002240869216620922,7.645136065548286e-06,False,False,145,
zero,ENDPOINT_REFERENCE,149,0.1,0.00022312435612548143,7.371340416284511e-06,False,False,145,
zero,ENDPOINT_REFERENCE,150,0.1,0.0002221779286628589,7.1884751378092915e-06,True,True,150,0.0009082233882509172
zero,ENDPOINT_REFERENCE,151,0.1,0.0002211677929153666,6.728975222358713e-06,False,False,150,
zero,ENDPOINT_REFERENCE,152,0.1,0.00022024245117790997,6.424297225748887e-06,False,False,150,
zero,ENDPOINT_REFERENCE,153,0.1,0.00021936708071734756,6.224928256415296e-06,False,False,150,
zero,ENDPOINT_REFERENCE,154,0.1,0.0002185408229706809,6.203927114256658e-06,False,False,150,
zero,ENDPOINT_REFERENCE,155,0.1,0.00021777434449177235,5.979692559776595e-06,True,True,155,0.0008915678481571376
zero,ENDPOINT_REFERENCE,156,0.1,0.00021705441758967936,5.820752448926214e-06,False,False,155,
zero,ENDPOINT_REFERENCE,157,0.1,0.0002163437457056716,5.756899554398842e-06,False,False,155,
zero,ENDPOINT_REFERENCE,158,0.1,0.00021562050096690655,5.40826022188412e-06,False,False,155,
zero,ENDPOINT_REFERENCE,159,0.1,0.00021496076078619808,5.248862635198748e-06,False,False,155,
zero,ENDPOINT_REFERENCE,160,0.1,0.00021434306108858436,5.113517545396462e-06,True,True,160,0.0008673254633322358
zero,ENDPOINT_REFERENCE,161,0.05,0.0005427284049801528,7.385120989056304e-05,False,False,160,
zero,ENDPOINT_REFERENCE,162,0.05,0.0004941110382787883,5.223569314694032e-05,False,False,160,
zero,ENDPOINT_REFERENCE,163,0.05,0.00046012058737687767,5.983182563795708e-05,False,False,160,
zero,ENDPOINT_REFERENCE,164,0.05,0.0004289036733098328,5.929423787165433e-05,False,False,160,
zero,ENDPOINT_REFERENCE,165,0.05,0.00040301858098246157,6.037215644028038e-05,True,True,165,0.0007408946403302252
zero,ENDPOINT_REFERENCE,166,0.05,0.0003848547057714313,6.79274380672723e-05,False,False,165,
zero,ENDPOINT_REFERENCE,167,0.05,0.00036954754614271224,6.950784154469147e-05,False,False,165,
zero,ENDPOINT_REFERENCE,168,0.05,0.0003600481431931257,7.448787800967693e-05,False,False,165,
zero,ENDPOINT_REFERENCE,169,0.05,0.00035018575727008283,7.124629337340593e-05,False,False,165,
zero,ENDPOINT_REFERENCE,170,0.05,0.00034151115687564015,7.55643195589073e-05,True,True,170,0.0007106114062480628
zero,ENDPOINT_REFERENCE,171,0.05,0.0003317985392641276,7.322214514715597e-05,False,False,170,
zero,ENDPOINT_REFERENCE,172,0.05,0.0003250395820941776,7.366544741671532e-05,False,False,170,
zero,ENDPOINT_REFERENCE,173,0.05,0.0003186115063726902,7.162310066632926e-05,False,False,170,
zero,ENDPOINT_REFERENCE,174,0.05,0.00031221527024172246,6.571220728801563e-05,False,False,170,
zero,ENDPOINT_REFERENCE,175,0.05,0.00030737448832951486,6.425080209737644e-05,True,False,170,0.0007270960486494005
zero,ENDPOINT_REFERENCE,176,0.05,0.0003029395011253655,6.115047290222719e-05,False,False,170,
zero,ENDPOINT_REFERENCE,177,0.05,0.00030005810549482703,6.822392606409267e-05,False,False,170,
zero,ENDPOINT_REFERENCE,178,0.05,0.000295197416562587,5.245194915914908e-05,False,False,170,
zero,ENDPOINT_REFERENCE,179,0.05,0.0002907786692958325,5.0231643399456516e-05,False,False,170,
zero,ENDPOINT_REFERENCE,180,0.05,0.0002877275401260704,5.104478987050243e-05,True,True,180,0.0006955149001441896
zero,ENDPOINT_REFERENCE,181,0.05,0.00028407637728378177,4.724766404251568e-05,False,False,180,
zero,ENDPOINT_REFERENCE,182,0.05,0.00027981583843939006,4.1502484236843884e-05,False,False,180,
zero,ENDPOINT_REFERENCE,183,0.05,0.0002765952667687088,4.097623605048284e-05,False,False,180,
zero,ENDPOINT_REFERENCE,184,0.05,0.0002732460561674088,3.985293733421713e-05,False,False,180,
zero,ENDPOINT_REFERENCE,185,0.05,0.00027087796479463577,3.8527203287230805e-05,True,True,185,0.0006785060395486653
zero,ENDPOINT_REFERENCE,186,0.05,0.0002676241274457425,3.606736572692171e-05,False,False,185,
zero,ENDPOINT_REFERENCE,187,0.05,0.0002645842032507062,3.288476727902889e-05,False,False,185,
zero,ENDPOINT_REFERENCE,188,0.05,0.00026212012744508684,3.361729977768846e-05,False,False,185,
zero,ENDPOINT_REFERENCE,189,0.05,0.00025973140145651996,3.1160761864157394e-05,False,False,185,
zero,ENDPOINT_REFERENCE,190,0.05,0.00025760565767996013,3.23427957482636e-05,True,True,190,0.0006736644427292049
zero,ENDPOINT_REFERENCE,191,0.05,0.0002553126832935959,3.67369175364729e-05,False,False,190,
zero,ENDPOINT_REFERENCE,192,0.05,0.0002538784465286881,2.90902862616349e-05,False,False,190,
zero,ENDPOINT_REFERENCE,193,0.05,0.0002523244475014508,2.8618122087209485e-05,False,False,190,
zero,ENDPOINT_REFERENCE,194,0.05,0.0002508155012037605,2.743874392763246e-05,False,False,190,
zero,ENDPOINT_REFERENCE,195,0.05,0.0002494237560313195,2.969578417832963e-05,True,True,195,0.00066958530806005
zero,ENDPOINT_REFERENCE,196,0.05,0.0002478552341926843,2.30406440095976e-05,False,False,195,
zero,ENDPOINT_REFERENCE,197,0.05,0.00024629043764434755,2.1835910956724547e-05,False,False,195,
zero,ENDPOINT_REFERENCE,198,0.05,0.00024501464213244617,2.3515167413279414e-05,False,False,195,
zero,ENDPOINT_REFERENCE,199,0.05,0.000243533548200503,2.0662708266172558e-05,False,False,195,
zero,ENDPOINT_REFERENCE,200,0.05,0.0002423903497401625,1.8681994333746843e-05,True,True,200,0.0006645526736974716
