sample_id,class_id,truth_present,truth_volume,predicted_volume,volume_error,absolute_volume_error_fraction,iou,precision,recall,variant
5,7,False,0,1348,1348,nan,0.0,0.0,nan,inverted
5,8,False,0,5765,5765,nan,0.0,0.0,nan,inverted
5,9,True,8968,3532,-5436,0.6061552185548618,0.028721915891696155,0.09881087202718007,0.03891614629794826,inverted
5,10,False,0,3843,3843,nan,0.0,0.0,nan,inverted
5,11,False,0,13886,13886,nan,0.0,0.0,nan,inverted
5,12,False,0,15536,15536,nan,0.0,0.0,nan,inverted
5,13,True,15,9,-6,0.4,0.0,0.0,0.0,inverted
6,0,False,0,141,141,nan,0.0,0.0,nan,prior
6,1,True,45273,37290,-7983,0.1763302630707044,0.4645061728395062,0.7022526146419952,0.5784242263600822,prior
6,2,True,24520,21210,-3310,0.13499184339314846,0.7121569508405406,0.8967939651107968,0.7757340946166394,prior
6,3,True,14533,7337,-7196,0.49514897130668134,0.2397256391361034,0.5763936213711326,0.29099291268148353,prior
6,4,True,73801,92705,18904,0.2561482906735681,0.5199780911953992,0.6144328784855185,0.7718188100432244,prior
6,5,True,18902,29367,10465,0.5536451169188445,0.2326412829745397,0.3102121428814656,0.4819595809967199,prior
6,6,True,11543,291,-11252,0.9747899159663865,0.011107313738892685,0.44673539518900346,0.011262236853504288,prior
6,7,False,0,13,13,nan,0.0,0.0,nan,prior
6,8,False,0,5,5,nan,0.0,0.0,nan,prior
6,9,True,8968,8975,7,0.0007805530776092774,0.03848825095497164,0.07409470752089137,0.07415254237288135,prior
6,10,False,0,58,58,nan,0.0,0.0,nan,prior
6,11,False,0,163,163,nan,0.0,0.0,nan,prior
6,12,False,0,0,0,nan,nan,nan,nan,prior
6,13,True,15,0,-15,1.0,0.0,nan,0.0,prior
6,0,False,0,85,85,nan,0.0,0.0,nan,inverted
6,1,True,45273,28866,-16407,0.3624014313166788,0.43084049020553894,0.7733665904524354,0.49309743113997306,inverted
6,2,True,24520,19825,-4695,0.1914763458401305,0.657075595082396,0.8869609079445145,0.7171288743882545,inverted
6,3,True,14533,8595,-5938,0.40858735292093856,0.1743082000507743,0.3994182664339732,0.23622101424344594,inverted
6,4,True,73801,72168,-1633,0.022127071448896356,0.5080532683148575,0.6814100432324576,0.6663324345198575,inverted
6,5,True,18902,17849,-1053,0.05570839064649243,0.2208823333997741,0.3725138663230433,0.35176171833668396,inverted
6,6,True,11543,2454,-9089,0.7874036212423113,0.014201869429751468,0.07986960065199673,0.016979987871437233,inverted
6,7,False,0,1682,1682,nan,0.0,0.0,nan,inverted
6,8,False,0,6617,6617,nan,0.0,0.0,nan,inverted
6,9,True,8968,4718,-4250,0.473907225691347,0.025706362886906992,0.07270029673590504,0.038247100802854594,inverted
6,10,False,0,3385,3385,nan,0.0,0.0,nan,inverted
6,11,False,0,15588,15588,nan,0.0,0.0,nan,inverted
