scope,hard_loss_rank_quintile,interpretation,count,hard_delta_min,hard_delta_median,hard_delta_max,score_min,score_p05,score_median,score_p95,score_max
arm:native_seed20260808/correct,1,"1=lowest/best hard delta, 5=highest/worst hard delta",112,0.00018275529146194458,0.000715944916009903,0.0009158914908766747,2.463516648276709e-05,2.4772683991614032e-05,3.1275159926735796e-05,5.696062726201489e-05,6.777044472983107e-05
arm:native_seed20260808/correct,2,"1=lowest/best hard delta, 5=highest/worst hard delta",112,0.0009192256256937981,0.0010810364037752151,0.0012013185769319534,2.4635164663777687e-05,2.46351719397353e-05,3.0169197998475283e-05,4.8861697723623356e-05,6.080756429582834e-05
arm:native_seed20260808/correct,3,"1=lowest/best hard delta, 5=highest/worst hard delta",112,0.0012074140831828117,0.0013893386349081993,0.0015688249841332436,2.463516648276709e-05,2.4885193852242082e-05,2.8983872653043363e-05,4.893955956504213e-05,5.774203600594774e-05
arm:native_seed20260808/correct,4,"1=lowest/best hard delta, 5=highest/worst hard delta",112,0.001573287881910801,0.001779463142156601,0.0020781410858035088,2.4635164663777687e-05,2.4635168301756494e-05,3.053921136597637e-05,4.764596560562495e-05,6.228478014236316e-05
arm:native_seed20260808/correct,5,"1=lowest/best hard delta, 5=highest/worst hard delta",112,0.0020781466737389565,0.0024611158296465874,0.003635960631072521,2.4635164663777687e-05,2.4772684810159262e-05,2.8983868105569854e-05,3.735420250450261e-05,6.016541374265216e-05
arm:native_seed20260808/shuffled_xy,1,"1=lowest/best hard delta, 5=highest/worst hard delta",112,0.0001545911654829979,0.00083920918405056,0.001086922362446785,5.547361979552079e-06,5.632586180581711e-06,6.4409864535264205e-06,3.995203096565092e-05,4.4057622289983556e-05
arm:native_seed20260808/shuffled_xy,2,"1=lowest/best hard delta, 5=highest/worst hard delta",112,0.0010900888592004776,0.001293431967496872,0.0014444487169384956,5.568147116719047e-06,5.637642971123569e-06,6.359484814311145e-06,3.690448029374236e-05,4.087794150109403e-05
arm:native_seed20260808/shuffled_xy,3,"1=lowest/best hard delta, 5=highest/worst hard delta",112,0.0014494052156805992,0.0016234256327152252,0.001816791482269764,5.547361979552079e-06,5.650009188684635e-06,6.260649115574779e-06,2.9070665186736708e-05,3.66791537089739e-05
arm:native_seed20260808/shuffled_xy,4,"1=lowest/best hard delta, 5=highest/worst hard delta",112,0.0018182387575507164,0.0020533986389636993,0.002334325574338436,5.547361979552079e-06,5.6540591458542625e-06,6.26554856353323e-06,1.693024059932193e-05,3.7993817386450246e-05
arm:native_seed20260808/shuffled_xy,5,"1=lowest/best hard delta, 5=highest/worst hard delta",112,0.002334519289433956,0.002689749002456665,0.0035156188532710075,5.547361979552079e-06,5.606680133496411e-06,6.146526629891014e-06,2.7040821896662232e-05,3.965482392231934e-05
