case_id,observation_kind,observation_group,trace_index,generation,state_id,parent_id,ranking_id,rank_index,center_x,center_y,center_z,canonical_center_score,hard_rmse,hard_delta_rmse_vs_parent,hard_delta_rmse_vs_empty,hard_improves_parent,hard_improves_empty,condition_violations,shape,material_label,size_x,size_y,size_z,orientation_deg,truth_used
analytic_five_body,correct,correct,21,1,g001_p000020_empty,empty,g001_b7e43f1d75130653_0000,20,10.0,40.0,21.0,5.566443724092096e-05,0.010873675346374512,0.0019878512248396873,0.0019878512248396873,False,False,0,ellipsoid,9,6.866976562835077,13.01965842222327,12.093670773758578,120.3570059864107,False
analytic_five_body,correct,correct,22,1,g001_p000021_empty,empty,g001_b7e43f1d75130653_0000,21,10.0,43.0,21.0,5.566443724092096e-05,0.011273432523012161,0.002387608401477337,0.002387608401477337,False,False,0,dike_hemisphere,9,8.55312931220255,12.042131805719643,7.192622343400261,74.62073140176355,False
analytic_five_body,correct,correct,23,1,g001_p000022_empty,empty,g001_b7e43f1d75130653_0000,22,11.0,41.0,21.0,5.566443724092096e-05,0.012923450209200382,0.004037626087665558,0.004037626087665558,False,False,0,dike_hemisphere,9,15.727521082664902,12.70611739433694,12.543649458583864,24.046316962221205,False
analytic_five_body,correct,correct,24,1,g001_p000023_empty,empty,g001_b7e43f1d75130653_0000,23,11.0,42.0,21.0,5.5664433602942154e-05,0.012333454564213753,0.0034476304426789284,0.0034476304426789284,False,False,0,dike_hemisphere,9,15.4949785794143,8.79054516317618,6.340410897677041,29.431657523885622,False
analytic_five_body,correct,correct,25,1,g001_p000024_empty,empty,g001_b7e43f1d75130653_0000,24,40.0,40.0,39.0,4.9821788707049564e-05,0.012150071561336517,0.003264247439801693,0.003264247439801693,False,False,0,dike_hemisphere,9,14.162383720643012,10.921039813943082,12.808272739595862,104.6165805034426,False
analytic_five_body,correct,correct,26,1,g001_p000025_empty,empty,g001_b7e43f1d75130653_0000,25,40.0,43.0,39.0,4.9821788707049564e-05,0.011141175404191017,0.0022553512826561928,0.0022553512826561928,False,False,0,dike_hemisphere,9,10.724165173676123,9.933379992288534,12.130224306106765,97.28757733917105,False
analytic_five_body,correct,correct,27,1,g001_p000026_empty,empty,g001_b7e43f1d75130653_0000,26,43.0,40.0,39.0,4.9821785069070756e-05,0.010387456975877285,0.0015016328543424606,0.0015016328543424606,False,False,0,ellipsoid,9,7.0155988133818585,13.788492252932086,9.51071556944707,54.01640594060518,False
analytic_five_body,correct,correct,28,1,g001_p000027_empty,empty,g001_b7e43f1d75130653_0000,27,43.0,43.0,39.0,4.9821785069070756e-05,0.012671391479671001,0.003785567358136177,0.003785567358136177,False,False,0,ellipsoid,9,13.277395392999473,15.03541459903683,11.10483900104514,76.32087457784891,False
analytic_five_body,correct,correct,29,1,g001_p000028_empty,empty,g001_b7e43f1d75130653_0000,28,8.0,40.0,21.0,4.9791404308052734e-05,0.012118189595639706,0.0032323654741048813,0.0032323654741048813,False,False,0,ellipsoid,9,11.966143278502052,14.013052934755072,6.5409084727214015,59.23849876696286,False
analytic_five_body,correct,correct,30,1,g001_p000029_empty,empty,g001_b7e43f1d75130653_0000,29,8.0,43.0,21.0,4.9791404308052734e-05,0.011150380596518517,0.002264556474983692,0.002264556474983692,False,False,0,ellipsoid,9,12.646421280574245,11.724070690046856,9.557750592532807,106.61882671995619,False
