source_label,destination_label,changed_voxels,condition_violation_count,hard_seismic_loss,hard_seismic_rmse_amplitude,hard_seismic_mae_amplitude,hard_observation_loss,hard_observation_mae
5,4,18850,0,8.456927299499512,0.029080796986818314,0.007176254875957966,8.456927299499512,0.007176254875957966
5,6,18850,0,5.208870887756348,0.022822950035333633,0.005490840878337622,5.208870887756348,0.005490840878337622
5,7,18850,0,24.027713775634766,0.049018070101737976,0.015015291050076485,24.027713775634766,0.015015291050076485
5,8,18850,0,19.892162322998047,0.044600628316402435,0.0128060607239604,19.892162322998047,0.0128060607239604
5,9,18850,0,16.939353942871094,0.041157446801662445,0.011046228930354118,16.939353942871094,0.011046228930354118
5,10,18850,0,8.8429536819458,0.02973710373044014,0.007546931505203247,8.8429536819458,0.007546931505203247
5,11,18850,0,11.32365894317627,0.03365064784884453,0.008638503029942513,11.32365894317627,0.008638503029942513
5,12,18850,0,2.8621926307678223,0.016918014734983444,0.003804825246334076,2.8621926307678223,0.003804825246334076
5,13,18850,0,24.452777862548828,0.049449753016233444,0.015116755850613117,24.452777862548828,0.015116755850613117
6,0,11534,0,4.959616184234619,0.022270193323493004,0.002772196661680937,4.959616184234619,0.002772196661680937
6,1,11534,0,3.623380184173584,0.019035177305340767,0.00232311082072556,3.623380184173584,0.00232311082072556
6,2,11534,0,2.8545944690704346,0.01689554564654827,0.0020890585146844387,2.8545944690704346,0.0020890585146844387
6,3,11534,0,2.555525541305542,0.015986010432243347,0.0019550935830920935,2.555525541305542,0.0019550935830920935
6,4,11534,0,2.2645022869110107,0.015048263594508171,0.0017294043209403753,2.2645022869110107,0.0017294043209403753
6,5,11534,0,2.861105442047119,0.01691480167210102,0.0015489410143345594,2.861105442047119,0.0015489410143345594
6,7,11534,0,4.179017066955566,0.020442645996809006,0.0025290229823440313,4.179017066955566,0.0025290229823440313
6,8,11534,0,3.1238179206848145,0.01767432689666748,0.0021840245462954044,3.1238179206848145,0.0021840245462954044
6,9,11534,0,3.208571195602417,0.01791248470544815,0.0018439814448356628,3.208571195602417,0.0018439814448356628
6,10,11534,0,2.218830108642578,0.014895737171173096,0.0012578550959005952,2.218830108642578,0.0012578550959005952
6,11,11534,0,2.3862977027893066,0.015447644516825676,0.0018365883734077215,2.3862977027893066,0.0018365883734077215
6,12,11534,0,2.2866439819335938,0.01512165367603302,0.0015778813976794481,2.2866439819335938,0.0015778813976794481
6,13,11534,0,4.276336669921875,0.020679306238889694,0.0025601168163120747,4.276336669921875,0.0025601168163120747
9,0,8955,0,6.254767417907715,0.025009535253047943,0.003045279998332262,6.254767417907715,0.003045279998332262
9,1,8955,0,4.693252086639404,0.021663915365934372,0.002573493169620633,4.693252086639404,0.002573493169620633
9,2,8955,0,3.8162055015563965,0.019535109400749207,0.0023658794816583395,3.8162055015563965,0.0023658794816583395
9,3,8955,0,3.479764223098755,0.018654124811291695,0.002249675104394555,3.479764223098755,0.002249675104394555
9,4,8955,0,3.1509995460510254,0.01775105483829975,0.0021030795760452747,3.1509995460510254,0.0021030795760452747
